Input,fiName,url,elementType,id,cssClass,name,type,forLabel
A,A+ Federal Credit Union,https://secure1.onlineaccess1.com/AFederalCreditUnionOnline_40/Authentication/Login.aspx,input,submitAction,button default,,submit,
P,A+ Federal Credit Union,https://secure1.onlineaccess1.com/AFederalCreditUnionOnline_40/Authentication/Login.aspx,input,passwordEdit,text,q2oPassword,password,
U,A+ Federal Credit Union,https://secure1.onlineaccess1.com/AFederalCreditUnionOnline_40/Authentication/Login.aspx,input,loginIdEdit,text,q2oLoginID,text,
A,Aberdeen Proving Ground FCU,https://online.apgfcu.com/auth/SignIn?wa=wsignin1.0&wtrealm=https%3A%2F%2Fonline.apgfcu.com%2Fbanking%2F&wctx=rm%3D0%26id%3Dpassive%26ru%3D%252fbanking%252f&wct=2015 03 31T03%3A47%3A57Z,input,submitCredentials,primary-action,,submit,
P,Aberdeen Proving Ground FCU,https://online.apgfcu.com/auth/SignIn?wa=wsignin1.0&wtrealm=https%3A%2F%2Fonline.apgfcu.com%2Fbanking%2F&wctx=rm%3D0%26id%3Dpassive%26ru%3D%252fbanking%252f&wct=2015 03 31T03%3A47%3A57Z,input,Password,control fill-horizontal,Password,password,
U,Aberdeen Proving Ground FCU,https://online.apgfcu.com/auth/SignIn?wa=wsignin1.0&wtrealm=https%3A%2F%2Fonline.apgfcu.com%2Fbanking%2F&wctx=rm%3D0%26id%3Dpassive%26ru%3D%252fbanking%252f&wct=2015 03 31T03%3A47%3A57Z,input,UserName,control fill-horizontal,UserName,text,
A,Alliant Credit Union,https://www.alliantcreditunion.com/AggregatorOLB/Login.aspx,input,ctl00_pagePlaceholder_btn_logon,longBttn sendBttn spacerA,ctl00$pagePlaceholder$btn_logon,image,
P,Alliant Credit Union,https://www.alliantcreditunion.com/AggregatorOLB/Login.aspx,input,ctl00_pagePlaceholder_txt_password,,ctl00$pagePlaceholder$txt_password,password,
U,Alliant Credit Union,https://www.alliantcreditunion.com/AggregatorOLB/Login.aspx,input,ctl00_pagePlaceholder_txt_username,,ctl00$pagePlaceholder$txt_username,text,
A,Altra Federal Credit Union,https://www.altraonline.org/login/login.aspx,input,cphPageContent_octlLogin_bttnLoginSubmit,btn btn-primary btn-block,ctl00$cphPageContent$octlLogin$bttnLoginSubmit,submit,
P,Altra Federal Credit Union,https://www.altraonline.org/login/login.aspx,input,cphPageContent_octlLogin_txtPassword,form-control,ctl00$cphPageContent$octlLogin$txtPassword,password,
U,Altra Federal Credit Union,https://www.altraonline.org/login/login.aspx,input,cphPageContent_octlLogin_txtUserId,form-control,ctl00$cphPageContent$octlLogin$txtUserId,text,
A,American Airlines FCU,https://online.aacreditunion.org/AAFCUOnline_40/Authentication/Login.aspx?ReturnUrl=%2faafcuonline_40%2flogin,input,submitAction,button default,,submit,
P,American Airlines FCU,https://online.aacreditunion.org/AAFCUOnline_40/Authentication/Login.aspx?ReturnUrl=%2faafcuonline_40%2flogin,input,passwordEdit,text,q2oPassword,password,
U,American Airlines FCU,https://online.aacreditunion.org/AAFCUOnline_40/Authentication/Login.aspx?ReturnUrl=%2faafcuonline_40%2flogin,input,loginIdEdit,text,q2oLoginID,text,
A,American Express   Subaccounts,https://online.americanexpress.com/myca/logon/us/action?request_type=LogonHandler&Face=en_US&DestPage=https%3A%2F%2Fonline.americanexpress.com%2Fmyca%2Facctsumm%2Fus%2Faction%3Frequest_type%3Dauthreg_acctAccountSummary%26entry_point%3Dlnk,input,lilo_formSubmit,,,button,
P,American Express   Subaccounts,https://online.americanexpress.com/myca/logon/us/action?request_type=LogonHandler&Face=en_US&DestPage=https%3A%2F%2Fonline.americanexpress.com%2Fmyca%2Facctsumm%2Fus%2Faction%3Frequest_type%3Dauthreg_acctAccountSummary%26entry_point%3Dlnk,input,lilo_password,,Password,password,
U,American Express   Subaccounts,https://online.americanexpress.com/myca/logon/us/action?request_type=LogonHandler&Face=en_US&DestPage=https%3A%2F%2Fonline.americanexpress.com%2Fmyca%2Facctsumm%2Fus%2Faction%3Frequest_type%3Dauthreg_acctAccountSummary%26entry_point%3Dlnk,input,lilo_userName,,UserID,text,
A,American Express Blue Card,https://online.americanexpress.com/myca/logon/us/action?request_type=LogonHandler&Face=en_US,input,lilo_formSubmit,,,button,
P,American Express Blue Card,https://online.americanexpress.com/myca/logon/us/action?request_type=LogonHandler&Face=en_US,label,lilo_labelPassword,,,,lilo_password
