146,Filter,isUsername,isPassword,isLoginAction,Input,fiName,url,elementType,id,cssClass,name,type,length,placeHolder,forLabel,content,href,style,method,action,autocomplete,tabindex,comments,value
#VALUE!,TRUE,1,0,0,U,PSECU,https://homebank.psecu.com/Login/Login.aspx,input,AccountNumber,form-control,AccountNumber,text,,,,null,,,,,,,This possibly is userid field,
#VALUE!,TRUE,0,0,0,,PSECU,https://homebank.psecu.com/Login/Login.aspx,input,n,form-control,Pin,password,,,,null,,,,,,,null,
#VALUE!,TRUE,0,1,0,P,PSECU,https://homebank.psecu.com/Login/Login.aspx,input,Pwd,form-control,Pwd,password,,,,null,,,,,,,null,
#VALUE!,TRUE,0,0,1,A,PSECU,https://homebank.psecu.com/Login/Login.aspx,input,btnLogin,btn btn-primary DisableOnClick,btnLogin,submit,,,,null,,,,,,,This possibly is userid field,Login
TRUE,TRUE,0,0,0,,PSECU,https://homebank.psecu.com/Login/Login.aspx,input,txtEncodedPassword,hidden,txtEncodedPassword,password,,,,null,,,,,,,This possibly is password field,
#VALUE!,TRUE,1,0,0,U,Randolph Brooks FCU,https://www.rbfcu.org/NBO/loginSubmit.do,input,userField,textbox,username,text,,,,null,,,,,off,,This possibly is userid field,
TRUE,TRUE,0,1,0,P,Randolph Brooks FCU,https://www.rbfcu.org/NBO/loginSubmit.do,input,password,textbox,password,password,,,,null,,,,,off,,This possibly is password field,
#VALUE!,TRUE,0,0,1,A,Randolph Brooks FCU,https://www.rbfcu.org/NBO/loginSubmit.do,input,,btn,Go,submit,,,,null,,,,,,,null,Log On
#VALUE!,TRUE,0,0,0,A,BB&T Bankcard & Merchant Services,http://www.bbt.com/,input,login-dropdown-toggler,,,text,,,,null,,,,,,,null,
#VALUE!,TRUE,0,0,0,U,BB&T Bankcard & Merchant Services,http://www.bbt.com/,input,username_header,,UserName,submit,,,,null,,,,,,,null,Search
#VALUE!,TRUE,1,0,0,A,BB&T Bankcard & Merchant Services,http://www.bbt.com/,input,username_header,UserID,UserName,text,,,,null,,,,,,,This possibly is userid field,
#VALUE!,TRUE,0,0,0,A,BB&T Bankcard & Merchant Services,http://www.bbt.com/,input,,btn,Continue,submit,,,,Continue,,,,,,,null,
#VALUE!,TRUE,0,0,0,P,BB&T Bankcard & Merchant Services,http://www.bbt.com/,input,user-password,,Password,text,,,,null,,,,,,,null,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,name,search,action,params,,,,,,,,,,,,,,,,,,,
,,username,input[name='AccountNumber'],set,fredular',,,,,,,,,,,,,,,,,,,
,,password,input[name='Pin'],set,pass',,,,,,,,,,,,,,,,,,,
,,login_button,input[name='Pwd'],click,&callback,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,username,,set,snedular',,,,,,,,,,,,,,,,,,,
,,password,,set,cas',,,,,,,,,,,,,,,,,,,
,,login_button,,click,&callback,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,login,,click,&callback,,,,,,,,,,,,,,,,,,,
,,username,,set,jeb',,,,,,,,,,,,,,,,,,,
,,password,,set,jeb',,,,,,,,,,,,,,,,,,,
,,login_button,,click,&callback,,,,,,,,,,,,,,,,,,,
